sim_id,strategy,n_guesses,n_players,seed,round,guesses,new_items,inventory
0,diachronic,200,10,0,0,"[array(['skinny_tree', 'rock_1', 'fat_tree', 'antler'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,1,"[array(['fat_tree', 'antler', 'red_berries'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,2,"[array(['fat_tree', 'blue_berries', 'skinny_tree', 'antler'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,3,"[array(['rock_1', 'skinny_tree'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,4,"[array(['fat_tree', 'red_berries', 'rock_1', 'blue_berries'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,5,"[array(['red_berries', 'skinny_tree', 'fat_tree'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,6,"[array(['rock_1', 'fat_tree', 'antler', 'blue_berries'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,7,"[array(['skinny_tree', 'red_berries', 'fat_tree', 'antler'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,8,"[array(['rock_1', 'blue_berries', 'fat_tree', 'red_berries'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,9,"[array(['skinny_tree', 'blue_berries', 'fat_tree'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,10,"[array(['rock_1'], 
      dtype='<U12')]",['rock_2'],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,11,"[array(['antler', 'rock_1', 'fat_tree', 'blue_berries'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,12,"[array(['fat_tree', 'red_berries'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,13,"[array(['rock_2'], 
      dtype='<U12')]",['arrowhead_1'],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,14,"[array(['red_berries', 'antler'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,15,"[array(['red_berries', 'antler', 'rock_1'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,16,"[array(['rock_2'], 
      dtype='<U12')]",['arrowhead_1'],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,17,"[array(['fat_tree'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
0,diachronic,200,10,0,18,"[array(['red_berries', 'arrowhead_1'], 
      dtype='<U12')]",[],"['fat_tree', 'skinny_tree', 'rock_1', 'red_berries', 'blue_berries', 'antler', 'rock_2', 'arrowhead_1', 'arrowhead_1', 'arrowhead_1', 'club', 'branch', 'arrowhead_2', 'stick', 'branch', 'rock_2', 'stick', 'stick', 'arrowhead_1', 'sheet', 'stick', 'branch', 'stick', 'stick', 'arrowhead_1', 'branch', 'arrowhead_1', 'stick']"
