#,Entries,Last Submission UTC (Best − Last Submission),Score,Team Name  * in the money,slug,Δ1d,Δ1w,Δ5d
1.0,132.0,"Fri, 09 Sep 2016 00:15:46",0.994122,Joshua Havelka  *,predicting-red-hat-business-value,,—,
2.0,171.0,"Fri, 09 Sep 2016 18:01:56  (-2.3d)",0.9937879999999999,Victor  *,predicting-red-hat-business-value,,↑1,
3.0,133.0,"Fri, 09 Sep 2016 12:58:52  (-2.1d)",0.9936809999999999,Mickey  *,predicting-red-hat-business-value,,↓1,
4.0,119.0,"Fri, 09 Sep 2016 06:49:33  (-6.3d)",0.9932799999999999,raddar,predicting-red-hat-business-value,,—,
5.0,72.0,"Fri, 09 Sep 2016 21:19:43  (-26.1h)",0.9930950000000001,no one,predicting-red-hat-business-value,,↑2,
6.0,40.0,"Mon, 05 Sep 2016 05:20:47  (-4.5d)",0.993042,Nickel,predicting-red-hat-business-value,,↓1,
7.0,44.0,"Fri, 09 Sep 2016 00:19:38  (-7.7d)",0.9928950000000001,menny,predicting-red-hat-business-value,,↓1,
8.0,58.0,"Thu, 08 Sep 2016 15:05:49",0.9927530000000001,"Rubtsov Vasiliy (HSE, Moscow, Russia)",predicting-red-hat-business-value,,—,
9.0,129.0,"Fri, 09 Sep 2016 02:36:32  (-10.6h)",0.992509,Shize & Mikel  Shize Su  anokas,predicting-red-hat-business-value,,↑2,
10.0,1.0,"Thu, 01 Sep 2016 14:02:52",0.992506,Jack (Japan),predicting-red-hat-business-value,,↓1,
11.0,27.0,"Wed, 07 Sep 2016 16:08:24  (-1.1h)",0.99249,A Series Of Unlikely Explanations  Loiso  Andrey Ponomarev,predicting-red-hat-business-value,,↑16,
12.0,52.0,"Fri, 09 Sep 2016 02:43:49  (-18.1d)",0.9924860000000001,rcarson  rcarson  Little Boat,predicting-red-hat-business-value,,↓2,
13.0,60.0,"Fri, 09 Sep 2016 01:53:12  (-46.8h)",0.992449,Too Simple Sometimes Naive  Jianbo Ye  CalmeToi,predicting-red-hat-business-value,,↑17,
14.0,12.0,"Fri, 09 Sep 2016 16:33:24",0.992351,Eureka,predicting-red-hat-business-value,,↑155,
15.0,94.0,"Fri, 09 Sep 2016 19:04:32  (-12.2h)",0.992239,izMir,predicting-red-hat-business-value,,↓1,
16.0,57.0,"Tue, 06 Sep 2016 18:32:52",0.992217,Alexandra,predicting-red-hat-business-value,,↑2,
17.0,104.0,"Fri, 09 Sep 2016 14:36:46  (-2.5d)",0.9921639999999999,Chao Xu,predicting-red-hat-business-value,,—,
18.0,28.0,"Fri, 09 Sep 2016 04:39:56  (-0.5h)",0.992144,Ben Gorman,predicting-red-hat-business-value,,↑302,
19.0,78.0,"Thu, 08 Sep 2016 21:58:56",0.992129,mchahhou,predicting-red-hat-business-value,,↑43,
20.0,10.0,"Fri, 09 Sep 2016 15:20:40",0.9921120000000001,Topspin26,predicting-red-hat-business-value,,new,
21.0,56.0,"Fri, 09 Sep 2016 02:16:28  (-23.8h)",0.9921059999999999,William Hau,predicting-red-hat-business-value,,↑65,
22.0,64.0,"Fri, 09 Sep 2016 16:35:33",0.992094,SY,predicting-red-hat-business-value,,↑58,
