label,image
antler,Antler.jpg
arrowhead_1,Stone_Tool1.jpg
arrowhead_2,Stone_Tool2.jpg
axe_1,Axe.jpg
axe_2,Big_Axe.jpg
axe_blade,Stone_Tool5.jpg
bare_stump,Big_Log_W_Bark.jpg
blade,Stone_Tool3.jpg
blue_berries,Blue_Berry.jpg
blue_ink,Blue_Paint.jpg
bowl,Container.jpg
branch,Bough.jpg
brush_handle,Small_Stick.jpg
club,Antler_Refined.jpg
fat_totem,Quarter_Log.jpg
fat_tree,Big_Tree.jpg
fibers,Fiber.jpg
handle,Big_Bough.jpg
knife,Stone_Tool4.jpg
notched_handle,Big_Bough_Refined.jpg
paint_brush,Brush.jpg
red_berries,Red_Berry.jpg
red_ink,Red_Paint.jpg
rock_1,Stone.jpg
rock_2,Small_Stone.jpg
sheet,Bark.jpg
skinny_and_bare,Log_W_Bark.jpg
skinny_totem,Log.jpg
skinny_tree,Tree.jpg
stick,Stick.jpg
string,Twine.jpg
stump,Big_Log.jpg
workbench,Half_Log.jpg
