ID_Player,ID_Group,GroupTime,PlayerEndTime,ValidTeam,Notes
2,G_1/12/2017 11:07:17 AM,1/12/17 11:07,,u,
3,G_1/12/2017 11:07:17 AM,1/12/17 11:07,,u,
14,G_1/25/2017 12:59:48 PM,1/25/17 12:59,,y,
17,G_1/25/2017 12:59:48 PM,1/25/17 12:59,1/25/17 14:07,y,
18,G_1/25/2017 1:34:29 PM,1/25/17 13:34,1/25/17 14:10,y,
27,G_1/25/2017 1:34:29 PM,1/25/17 13:34,1/30/17 12:02,y,
28,G_1/30/2017 11:29:40 AM,1/30/17 11:29,1/30/17 12:03,n,Team size = 3
35,G_1/30/2017 11:29:40 AM,1/30/17 11:29,1/31/17 12:32,n,Team size = 3
35,G_1/30/2017 11:29:40 AM,1/30/17 11:29,1/31/17 12:32,n,Team size = 3
35,G_1/30/2017 11:29:40 AM,1/30/17 11:29,1/31/17 12:34,n,Both generations finished at the same time
35,G_1/30/2017 11:29:40 AM,1/30/17 11:29,1/31/17 12:34,n,Both generations finished at the same time
36,G_1/31/2017 12:01:26 PM,1/31/17 12:01,1/31/17 12:33,y,
39,G_1/31/2017 12:01:26 PM,1/31/17 12:01,2/2/17 11:48,y,
71,G_2/10/2017 12:17:24 PM,2/10/17 12:17,2/10/17 12:47,n,Both generations finished at the same time
73,G_2/10/2017 12:17:24 PM,2/10/17 12:17,2/10/17 12:48,n,Both generations finished at the same time
77,G_2/10/2017 2:19:07 PM,2/10/17 14:19,,u,Player 77 is not recorded in the subject info sheet and did not take the survey
75,G_2/10/2017 2:19:07 PM,2/10/17 14:19,2/10/17 16:18,u,Player 77 is not recorded in the subject info sheet and did not take the survey
81,G_2/10/2017 3:14:36 PM,2/10/17 15:14,2/10/17 16:31,u,Player 82 is not recorded in the subject info sheet and did not take the survey
82,G_2/10/2017 3:14:36 PM,2/10/17 15:14,,u,Player 82 is not recorded in the subject info sheet and did not take the survey
86,G_2/14/2017 1:24:14 PM,2/14/17 13:24,2/14/17 13:58,u,Player 87 is not recorded in the subject info sheet and did not take the survey
87,G_2/14/2017 1:24:14 PM,2/14/17 13:24,,u,Player 87 is not recorded in the subject info sheet and did not take the survey
88,G_2/14/2017 1:28:03 PM,2/14/17 13:28,2/14/17 13:59,n,Both generations finished at the same time
89,G_2/14/2017 1:28:03 PM,2/14/17 13:28,2/14/17 14:05,n,Both generations finished at the same time
90,G_2/15/2017 1:14:54 PM,2/15/17 13:14,2/15/17 13:53,n,Both generations finished at the same time
91,G_2/15/2017 1:14:54 PM,2/15/17 13:14,2/15/17 13:57,n,Both generations finished at the same time
92,G_2/15/2017 1:20:00 PM,2/15/17 13:20,2/15/17 13:53,n,Both generations finished at the same time
93,G_2/15/2017 1:20:00 PM,2/15/17 13:20,2/15/17 13:54,n,Both generations finished at the same time
95,G_2/16/2017 2:15:13 PM,2/16/17 14:15,2/16/17 14:49,n,Both generations finished at the same time
96,G_2/16/2017 2:15:13 PM,2/16/17 14:15,2/16/17 14:50,n,Both generations finished at the same time
97,G_2/16/2017 3:10:02 PM,2/16/17 15:10,2/16/17 15:38,y,
98,G_2/16/2017 3:10:02 PM,2/16/17 15:10,2/16/17 17:10,y,
53,G_2/2/2017 11:17:22 AM,2/2/17 11:17,2/6/17 11:35,y,
